quoteID;quotation;speaker;date;numOccurrences
2020-03-29-000118;... Zane Lowe checks in via FaceTime with Elton John, who discusses how his family has been passing time at home and the music they're turning to. He'll also check in with Miley Cyrus and Lil Nas X. Later in the week, Zane will catch up with superstars Charli XCX, Harry Styles, Hayley Williams, and more. At 12:00 p PST, Apple Music's Ebro Darden speaks with acclaimed R&B singer and songwriter Jhene Aiko. Later in the week, he'll check in with Lil Baby, A Boogie wit da Hoodie, and Don Toliver. Additionally, Apple Music hosts Rebecca Judd, Brooke Reese, Nadeska Alexis, Julie Adenuga, Travis Mills, Hanuman Welch, Kelleigh Bannen, Sandra Peña, and El Guru will all be back on the air with new shows in their regular time slots.;None;2020-03-29 17:47:52;1
2020-02-13-007205;Apple prices generally peak in January. Between December 2019 and January 2020, apple prices rose 22 percent to a weighted average price of $4.62 per kilogram,;Sarah Johnson;2020-02-13 10:01:48;3
2020-01-23-044076;I'm not sure why Apple did this,;Roger Grimes;2020-01-23 17:15:24;2
2020-01-02-039024;new multi-year license agreement under which Apple has access to a wider range of Imagination's intellectual property in exchange for license fees.;None;2020-01-02 09:56:04;3
2020-01-19-037883;the best sort of deal they could have come up with, without totally upsetting the apple cart;Dickie Arbiter;2020-01-19 19:24:59;1
2020-02-05-113553;We used the rural-urban continuum codes put out by the USDA. It's not perfect, but it gives us a good way to break down and divide by counties, and because the health data tends to be by counties, this helps us make sure we're comparing apples to apples.;Scott Phillips;2020-02-05 05:00:00;3
2020-02-15-057446;We've got old fashioned apples that we made a ketchup with and we went out to Little Akaloa and reduced a bunch of seawater to make salt.;Tom Riley;2020-02-15 23:35:37;2
2020-03-23-000192;[ One passage was about ] training yourself to live on the smell of an apple alone, when what you really wanted was to devour it, to sink your teeth into it and consume it, seeds, core, and all.;Reese Witherspoon;2020-03-23 19:16:00;4
2020-01-23-029335;I came at the end of a very intact record company system. When Toad got signed, people were buying a cassette and an LP and a CD. And it was great for the recording industry because they were selling physical media. And now it's like, `OK, you've got Spotify and Apple Music.' And it's changed how we reach people,;Glen Phillips;2020-01-23 00:00:00;1
2020-03-20-062093;The lads down at Derby are the same. People like Curtis Davies, they're always asking about the apple crumble.;None;2020-03-20 04:00:00;1
2020-01-30-109421;We are proud to work with Food for People to make a community cider that will benefit their wonderful program. When Allison reached out to me, I was very excited about the possibilities and look forward to watching this partnership grow. There are so many apples throughout the county that go to waste every year, so we are thrilled that Food for People takes the time to harvest these forgotten trees.;Tom Hart;2020-01-30 12:53:13;2
2020-01-28-111180;While strong customer loyalty should keep sales stable, we see little that could drive a return to secular growth in iPhone, iPad or Mac. At the same time, Services and Wearables appear to be slowing, which seems likely to limit profit growth in the coming years to something comparable to the last five,;Andy Hargreaves;2020-01-28 21:12:00;2
2020-02-24-004692;Apple has reinvented the phone;Steve Jobs;2020-02-24 15:40:00;1
2020-01-28-040407;if you looked around the stadium, you saw a lot of people using an iPad as a camera and generally that was people that just needed to have a bigger viewfinder for vision reasons, etc.. Then seeing that, we went back in and redesigned the camera experience on the iPad.;Imran Chaudhri;2020-01-28 17:03:18;1
2020-01-02-023900;I thought that Apple was the right idea very quickly, just because it was embryonic enough that I thought maybe, you know, I could make a little contribution there,;Richard Plepler;2020-01-02 18:45:07;7
2020-02-19-086144;They started worrying they wouldn't be able to build them fast enough. They looked at Apple pumping out Apple IIs for real cheap, and thought `we should partner with Apple so they can make computers really cheap for us. ';Larry Tesler;2020-02-19 15:50:00;3
2020-01-17-100813;We melted down those aluminum iMacs and turned them into a hammer, a wrench, and a screwdriver,;Nathaniel Stern;2020-01-17 08:00:00;1
2020-03-01-000404;A gift of the Apple ear plugs that had been left unpacked was initiated by the young comp savvy mobile savvy young. As in Ranbir on set, who sets it up for me. The sound is really good. Had seen it on Abhishek and wondered. But it really is good. Thank you.;Amitabh Bachchan;2020-03-01 08:38:05;1
2020-02-21-022763;I had been to an Apple picnic in 1978, when it had 30 employees,;None;2020-02-21 20:25:57;2
2020-01-15-049451;It would make it far easier for small developers to immediately add monetisation to what they're doing, and would also give the EAs of the world, who have big budgets, a guaranteed channel for marketing their iPhone games.;Mark Pincus;2020-01-15 10:30:00;1
2020-02-27-075495;They let you use iPhones in movies but -- and this is very pivotal if you're ever watching a mystery movie -- bad guys cannot have iPhones on camera.;Rian Johnson;2020-02-27 10:44:09;1
2020-01-02-001478;a new, multi-year licence agreement under which Apple has access to a wider range of Imagination's intellectual property in exchange for licence fees.;None;2020-01-02 12:39:02;2
2020-01-09-035278;I think Roku and Apple are in limbo.;Ted Malone;2020-01-09 00:16:12;2
2020-03-16-044558;Our online stores are open at www.apple.com, or you can download the Apple Store app on the App Store.;Tim Cook;2020-03-16 14:48:59;1
2020-02-12-083487;the apple strudel was OK. The coconut cream cake was much better.;Matthew Smith;2020-02-12 00:00:00;63
2020-01-17-039099;If we take [ Apple A-Series chipmaker ] TSMC at its word about the improved transistor density of the 5 nm process, we're looking at an incredible 15 billion transistors,;Jason Cross;2020-01-17 00:00:00;2
2020-02-11-098993;Under Steve Jobs' guidance, Apple has had the charter to create the best products they can in every area they compete, and the Macs and iPhones are no exception,;Tim Bajarin;2020-02-11 02:18:36;1
2020-01-28-012378;By consuming 15 to 30ml of apple cider vinegar per day in a diluted format, you can achieve health outcomes as seen in clinical trials, such as weight loss, blood glucose control and improved cardiovascular health,;None;2020-01-28 10:22:00;1
2020-01-29-011569;Both AirPods and Apple Watch were must-have gifts, helping drive unprecedented results for the category;Tim Cook;2020-01-29 14:21:15;1
2020-01-07-088479;We're asking the Court to reaffirm the importance of the software interoperability that has allowed millions of developers to write millions of applications that work on billions of devices. As Microsoft said in an earlier filing in this case: Consumers... expect to be able to take a photo on their Apple phone, save it onto Google's cloud servers, and edit it on their Surface tablets.;Kent Walker;2020-01-07 02:06:00;1
2020-02-06-051359;"iPhones were popular; Android phones were just coming in,";None;2020-02-06 12:10:19;1
2020-03-01-014589;I use regular Apple earphones. I'm scared of AirPods.;None;2020-03-01 14:00:08;1
2020-03-22-035700;This pandemic will hit everyone hard, and the music industry will be no exception. Spotify and Apple Music the very entities that have robbed so many musicians of future careers haven't made a peep. They should be the first ones reaching back to us and lending a hand. Not really the way the system works though. It's tragic to think that such a low paid and unquestionably poorly compensated musician's life is only getting worse. All I can say is support bands directly.;Ben Cook;2020-03-22 12:19:19;1
2020-01-13-085255;We have asked Apple for their help in unlocking the shooters' phones. So far, Apple has not given any substantive assistance.;William Barr;2020-01-13 00:00:00;73
2020-02-28-044008;Lady Gaga's New `Stupid Love' Music Video Shot Entirely on iPhone 11 Pro;None;2020-02-28 06:25:58;1
2020-03-14-015746;In China they're buying iPhones today.;None;2020-03-14 00:00:00;2
2020-04-14-048844;That's a good example why we won't allow the entire film to be put on any one system. That's not an ideal way to watch these things. They'll tell you, these different companies the studios are using, oh there's no way, it's 100% safe... our answer back is, Apple has been hacked. Nothing is 100%. So we watch reel by reel, take it down, talk. So, getting a sense of the overall pacing is the next thing for us. As soon as we can get into a room together and not get fined or hauled off or show a bad example for everybody, that's the first thing we're going to do, is watch it all in continuity.;Lorenzo di Bonaventura;2020-04-14 17:00:01;1
2020-02-19-086361;They were naturally suspicious at first. After speaking a few soft, comforting words, one of them finally knuckle-walked toward me and swiped the apple with its enormous hand.;Jeff Sanders;2020-02-19 17:32:44;1
2020-02-04-036339;I think that with each Apple product that a customer buys, I think they get tighter into the ecosystem because that's the reason that they're buying into it,;Tim Cook;2020-02-04 09:02:18;1
2020-01-24-057065;Maybe it shows a little bit about the health of the senators -- by the end of the evening, most of the cookies and Pringles were gone, but there were a lot of apples and tangerines left,;Mark Warner;2020-01-24 17:06:00;1
2020-02-04-025441;Here at Starr Ranch, our domestic organic apple program represents 14 percent of overall volume,;Dan Davis;2020-02-04 11:16:00;1
2020-02-22-034631;These days it becomes quite confusing to figure out what Buffett is doing and what Berkshire Hathaway is doing. Even in Apple the first purchase was by one of his deputies,;None;2020-02-22 15:30:00;1
2020-03-07-042330;When we were in Nebraska last year with all the flooding, a paper map would have been helpful when both Apple and Google Maps told us to go down a flooded road,;None;2020-03-07 21:32:40;1
2020-04-06-003779;Apple has been working hard on ways we can support our heroic front line medical professionals and I want to share two updates today.;Tim Cook;2020-04-06 12:11:35;1
2020-01-05-029987;Some time after the launch of MacIE 5, Apple acquired SoundJam and its development team. It was released by Apple under the name iTunes. We cut the feature and deeply regretted it.;None;2020-01-05 17:27:18;1
2020-02-20-005445;Apple is trying to obstruct the publication of a book that addresses its business practices, but is written very sympathetically,;None;2020-02-20 00:00:00;7
2020-04-13-054150;To their credit, Apple and Google have announced an approach that appears to mitigate the worst privacy and centralization risks, but there is still room for improvement. We will remain vigilant moving forward to make sure any contract tracing app remains voluntary and decentralized, and used only for public health purposes and only for the duration of this pandemic,;Jennifer Granick;2020-04-13 10:19:54;7
2020-03-19-092618;When we're finished, what I will have is a green apple, cut up, and then I take two tablespoons of almond butter and a teaspoon of cinnamon. I blend it all together, I put the apples in there and then I eat that like a porridge, if you will. That is my first chewable food of the day.;None;2020-03-19 16:25:52;1
2020-01-28-096989;We actually didn't believe that people would walk around taking pictures with their iPad. It was actually a funny internal conversation when we started seeing people outside taking their iPad with them and taking photos on vacation,;None;2020-01-28 17:03:18;1
2020-01-05-015176;I want my company to be the Apple Store of real estate,;Glenn Kelman;2020-01-05 18:16:10;1
2020-03-16-004785;Apple and its two wholesalers agreed not to compete and prevent distribution from competing with each other, thereby sterilising the wholesale market for Apple products,;Isabelle de Silva;2020-03-16 12:35:48;3
2020-01-07-015568;expect to be able to take a photo on their Apple phone, save it onto Google's cloud servers, and edit it on their Surface tablets.;Kent Walker;2020-01-07 00:00:00;1
2020-01-29-069146;"On iPhone; revenue in the December quarter was 56 billion dollars. Again, that's up 8% over a year ago, thanks to the exceptional demand for the iPhone 11, iPhone 11 Pro, and iPhone 11 Pro Max. In fact, iPhone 11 was our top-selling model every week during the December quarter, and the three new models were our three most popular iPhones. We had double-digit growth in many developed markets, including the U.S., the U.K., France, and Singapore, and also grew double digits in emerging markets led by strong performances in Brazil, mainland China, India, Thailand, and Turkey,";Tim Cook;2020-01-29 04:33:37;1
2020-04-16-065956;When it was planning this product, Apple couldn't have known it would land in a market in complete turmoil as a result of the covid-19 coronavirus pandemic,;Ben Wood;2020-04-16 09:35:00;1
2020-04-16-020301;I think it's hard for people to understand how little, incidental conversation just takes away from focus. Everybody just goes into pause mode instead of record mode. Also, when you shoot a lot of takes, as people do stuff repetitively, you see in your peripheral vision people go to their iPhones. Might be the iPhone on set -- biggest pet peeve.;David Fincher;2020-04-16 13:10:35;1
2020-02-10-051788;Let's take a 10-year view -- because I was 55, 10 years ago -- Apple stock was at $27.87,;Jim Cramer;2020-02-10 17:07:26;1
2020-02-28-085664;Well, it is important to recognize that our products are built everywhere. They are truly global products. So you have several parts that are made in the United States that serve the world. So not only for the iPhones sold in the United States, but those sold around the world. And so what will happen to the supply chain as we look back on this, I wouldn't want to say at this point because the question for us always is what kind of resilience did the supply chain have. It's not was there a problem, because there will always be unpredictable things that come up. But as you know from following us, we work through earthquakes, tornadoes, fires, floods, tsunamis, sars. And so we've had a long list of things and the operational team is very great at working through these. So the question for us after we get on the other side will be was the resilience there or not and do we need to make some changes. My perspective sitting here is that if there are changes, you're talking about adjusting some knobs, not some sort of wholesale fundamental change.;Tim Cook;2020-02-28 20:17:03;1
2020-03-20-017555;Go to your room on your iPad and be quiet;None;2020-03-20 14:56:22;1
